Participant ID,Onward eligibility,Onward Reason,Onward max reimbursment amount,Return eligibility,Return reason,Return max reimbursment amount,Attending,Onward ?,Return ?,Hotel ?
2313,Not Eligible,4455025391,670,Not Eligible,2350440393,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2314,Not Eligible,4455025391,670,Not Eligible,2350440393,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2315,Not Eligible,4455025391,670,Not Eligible,2350440393,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2316,Not Eligible,4455025391,670,Not Eligible,2350440393,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2317,Not Eligible,4455025391,670,Not Eligible,2350440393,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2318,Eligible,Cancelled,520,Not Eligible,2822917707,520,Attending,Ticket Not Availed,Ticket Availed,Hotel Required
2319,Eligible,Cancelled,520,Not Eligible,2822917707,520,Attending,Ticket Not Availed,Ticket Availed,Hotel Required
2320,Eligible,Cancelled,520,Not Eligible,2822917707,520,Attending,Ticket Not Availed,Ticket Availed,Hotel Required
2321,Eligible,Cancelled,520,Not Eligible,2822917707,520,Attending,Ticket Not Availed,Ticket Availed,Hotel Required
2322,Not Eligible,8116676685,520,Not Eligible,2822917707,520,Attending,Ticket Availed,Ticket Availed,Hotel Required
2323,Not Eligible,6619166238,255,Not Eligible,2822964177,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2324,Not Eligible,6619166238,255,Not Eligible,2822964177,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2325,Not Eligible,6619166238,255,Not Eligible,2822964177,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2326,Not Eligible,6619166238,255,Not Eligible,2822964177,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2327,Not Eligible,6619166238,255,Not Eligible,2822964177,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2328,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Required
2329,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Required
2330,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Required
2331,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Required
2332,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Required
2333,Not Eligible,4601644306,670,Not Eligible,2513120884,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2334,Not Eligible,4601644306,670,Not Eligible,2513120884,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2335,Not Eligible,4601644306,670,Not Eligible,2513120884,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2336,Not Eligible,4601644306,670,Not Eligible,2513120884,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2337,Not Eligible,4601644306,670,Not Eligible,2513120884,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2338,Eligible,Not issued,165,Eligible,Not issued,165,Attending,NA,NA,Hotel Required
2339,Eligible,Not issued,165,Eligible,Not issued,165,Attending,NA,NA,Hotel Required
2340,Eligible,Not issued,165,Eligible,Not issued,165,Attending,NA,NA,Hotel Required
2341,Eligible,Not issued,165,Eligible,Not issued,165,Attending,NA,NA,Hotel Required
2342,Eligible,Not issued,165,Eligible,Not issued,165,Attending,NA,NA,Hotel Required
2343,Eligible,Not issued,165,Eligible,Not issued,165,Attending,NA,NA,Hotel Required
2344,Eligible,Not issued,165,Eligible,Not issued,165,Attending,NA,NA,Hotel Required
2345,Eligible,Not issued,165,Eligible,Not issued,165,Attending,NA,NA,Hotel Required
2346,Eligible,Not issued,165,Eligible,Not issued,165,Attending,NA,NA,Hotel Required
2347,Eligible,Not issued,165,Eligible,Not issued,165,Attending,NA,NA,Hotel Required
2348,Eligible,Cancelled,735,Eligible,Cancelled,735,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2349,Eligible,Cancelled,735,Eligible,Cancelled,735,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2350,Eligible,Cancelled,735,Eligible,Cancelled,735,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Not Required
2351,Eligible,Cancelled,735,Eligible,Cancelled,735,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2352,Eligible,Cancelled,735,Eligible,Cancelled,735,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2353,Not Eligible,6223048959,560,Eligible,Cancelled,560,Attending,Ticket Availed,Ticket Not Availed,Hotel Required
2354,Not Eligible,6223048959,560,Eligible,Cancelled,560,Attending,Ticket Availed,Ticket Not Availed,Hotel Required
2355,Not Eligible,Cancelled,560,Not Eligible,Cancelled,560,Not Attending,NA,NA,NA
2356,Not Eligible,6223048959,560,Eligible,Cancelled,560,Attending,Ticket Availed,Ticket Not Availed,Hotel Required
2357,Not Eligible,6223048959,560,Eligible,Cancelled,560,Attending,Ticket Availed,Ticket Not Availed,Hotel Required
2358,Not Eligible,6619031259,620,Eligible,0,620,Attending,Ticket Availed,NA,Hotel Required
2359,Not Eligible,Cancelled,620,Not Eligible,0,620,Not Attending,NA,NA,NA
2360,Not Eligible,Cancelled,620,Not Eligible,0,620,Not Attending,NA,NA,NA
